Hair Color,Eye Color,Skin Tone,Under Tone,Personal Color Season,Recommended Clothing Colors,Avoid Clothing Colors,Recommended Jewelry Metal,Recommended Clothing Color Wheel Region,Avoid Clothing Color Wheel Region
Black,Brown,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Brown,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Brown,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Brown,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Brown,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Brown,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Brown,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Brown,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Brown,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Brown,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Brown,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Brown,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Brown,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Brown,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Brown,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Brown,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
