Torso Length,Body Proportion,Recommended Fitting Style,Recommended Materials,Recommended Patterns,Recommended Shoes,Fabric Nature,Don't Exaggerate,Do Exaggerate
Short Torso,Rectangle,Defined Waist,Structured Cotton,Curved Lines,Low Heels or Flats,Firm,Don't exaggerate straight lines,Exaggerate waistline
Short Torso,Inverted Triangle,A-Line Bottoms,Flowy Fabric,Vertical Stripes,Low Heels or Flats,Flowy,Don't exaggerate shoulders,Exaggerate hips
Short Torso,Triangle,Emphasize Top,Lightweight Cotton,Bright Tops,Low Heels or Flats,Light,Don't exaggerate hips,Exaggerate upper body
Short Torso,Oval,Wraps and Empire,"Jersey, Knits",Diagonal Lines,Low Heels or Flats,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Short Torso,Trapezoid,Balanced Fit,Soft Blends,Simple Solids,Low Heels or Flats,Soft,Don't exaggerate any feature,Balance upper and lower body
Short Torso,Hourglass,Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Low Heels or Flats,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Short Torso,Apple,Empire Waist,Drapey Fabric,Dark Solid Tops,Low Heels or Flats,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Long Torso,Rectangle,Defined Waist,Structured Cotton,Curved Lines,Heels or Platforms,Firm,Don't exaggerate straight lines,Exaggerate waistline
Long Torso,Inverted Triangle,A-Line Bottoms,Flowy Fabric,Vertical Stripes,Heels or Platforms,Flowy,Don't exaggerate shoulders,Exaggerate hips
Long Torso,Triangle,Emphasize Top,Lightweight Cotton,Bright Tops,Heels or Platforms,Light,Don't exaggerate hips,Exaggerate upper body
Long Torso,Oval,Wraps and Empire,"Jersey, Knits",Diagonal Lines,Heels or Platforms,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Long Torso,Trapezoid,Balanced Fit,Soft Blends,Simple Solids,Heels or Platforms,Soft,Don't exaggerate any feature,Balance upper and lower body
Long Torso,Hourglass,Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Heels or Platforms,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Long Torso,Apple,Empire Waist,Drapey Fabric,Dark Solid Tops,Heels or Platforms,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Balanced,Rectangle,Defined Waist,Structured Cotton,Curved Lines,Any Style,Firm,Don't exaggerate straight lines,Exaggerate waistline
Balanced,Inverted Triangle,A-Line Bottoms,Flowy Fabric,Vertical Stripes,Any Style,Flowy,Don't exaggerate shoulders,Exaggerate hips
Balanced,Triangle,Emphasize Top,Lightweight Cotton,Bright Tops,Any Style,Light,Don't exaggerate hips,Exaggerate upper body
Balanced,Oval,Wraps and Empire,"Jersey, Knits",Diagonal Lines,Any Style,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Balanced,Trapezoid,Balanced Fit,Soft Blends,Simple Solids,Any Style,Soft,Don't exaggerate any feature,Balance upper and lower body
Balanced,Hourglass,Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Any Style,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Balanced,Apple,Empire Waist,Drapey Fabric,Dark Solid Tops,Any Style,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
